PREMISES_TYPE,DIVISION,OCC_HOUR,OFFENCE
Outside,D12,14,Robbery - Mugging
Commercial,NSA,0,Robbery - Mugging
Commercial,D23,23,Robbery With Weapon
Commercial,D23,23,Robbery With Weapon
Commercial,D23,23,Robbery With Weapon
Outside,D41,22,Robbery - Mugging
Outside,D41,22,Robbery - Mugging
Outside,D41,22,Robbery - Mugging
Commercial,D52,1,Robbery - Business
Outside,D22,21,Robbery - Other
Commercial,D41,16,Robbery - Mugging
Outside,D55,18,Robbery - Mugging
Outside,D55,18,Robbery - Mugging
Commercial,D41,16,Robbery - Other
Outside,D32,20,Robbery - Mugging
Outside,D55,18,Robbery - Mugging
Outside,D42,22,Robbery - Other
Outside,D42,22,Robbery - Purse Snatch
Commercial,D52,1,Robbery - Business
Transit,D32,18,Robbery - Mugging
Commercial,D43,12,Robbery - Business
Commercial,D31,23,Robbery - Business
Outside,D51,21,Robbery - Mugging
Outside,D51,21,Robbery - Mugging
Outside,D14,22,Robbery - Swarming
Outside,D14,22,Robbery - Swarming
Outside,D43,1,Robbery - Mugging
Outside,D43,1,Robbery - Mugging
Apartment,D23,11,Robbery - Other
Commercial,D43,12,Robbery - Other
House,D54,6,Robbery - Other
Outside,D41,7,Robbery - Atm
Outside,D23,2,Robbery - Mugging
House,D54,6,Robbery - Swarming
Commercial,D42,18,Robbery - Other
Outside,D13,18,Robbery - Mugging
Outside,D13,18,Robbery - Mugging
Outside,D41,19,Robbery - Mugging
Outside,D11,14,Robbery - Mugging
